family_group,family,task_id,m,n,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
A,softmax,softmax_m4096_n256,4096,256,50,2048,1,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 3, ""num_warps"": 1}",0.010432000271975994,402.06133921098234,4.562877247726521,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,51,2048,1,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 4, ""num_warps"": 1}",0.010432000271975994,402.06133921098234,4.562877247726521,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,52,2048,2,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 1, ""num_warps"": 2}",0.009440000168979168,444.31185645344834,4.662799280924392,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,53,2048,2,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 2, ""num_warps"": 2}",0.009440000168979168,444.31185645344834,4.662799280924392,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,54,2048,2,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 3, ""num_warps"": 2}",0.009440000168979168,444.31185645344834,4.662799280924392,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,55,2048,2,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 4, ""num_warps"": 2}",0.009472000412642956,442.81079151997955,4.659415157275987,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,56,2048,4,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 1, ""num_warps"": 4}",0.009312000125646591,450.4192379087584,4.676451374500079,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,57,2048,4,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 2, ""num_warps"": 4}",0.009312000125646591,450.4192379087584,4.676451374500079,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,58,2048,4,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 3, ""num_warps"": 4}",0.009312000125646591,450.4192379087584,4.676451374500079,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,59,2048,4,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 4, ""num_warps"": 4}",0.009312000125646591,450.4192379087584,4.676451374500079,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,60,2048,8,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 1, ""num_warps"": 8}",0.011168000288307667,375.56446021865025,4.494702707146606,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,61,2048,8,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 2, ""num_warps"": 8}",0.01119999960064888,374.4914419244265,4.491841536337438,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,62,2048,8,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 3, ""num_warps"": 8}",0.01119999960064888,374.4914419244265,4.491841536337438,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,63,2048,8,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 4, ""num_warps"": 8}",0.01119999960064888,374.4914419244265,4.491841536337438,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,64,4096,1,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 1, ""num_warps"": 1}",0.017920000478625298,234.05713660571055,4.021837844726352,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,65,4096,1,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 2, ""num_warps"": 1}",0.017952000722289085,233.63991929837547,4.020053709407389,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,66,4096,1,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 3, ""num_warps"": 1}",0.017920000478625298,234.05713660571055,4.021837844726352,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,67,4096,1,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 4, ""num_warps"": 1}",0.017920000478625298,234.05713660571055,4.021837844726352,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,68,4096,2,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 1, ""num_warps"": 2}",0.014271999709308147,293.88341405756125,4.249455723512467,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,69,4096,2,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 2, ""num_warps"": 2}",0.014240000396966934,294.5438120137532,4.251700345121416,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,70,4096,2,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 3, ""num_warps"": 2}",0.014271999709308147,293.88341405756125,4.249455723512467,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,71,4096,2,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 4, ""num_warps"": 2}",0.014240000396966934,294.5438120137532,4.251700345121416,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,72,4096,4,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 1, ""num_warps"": 4}",0.013535999692976475,309.862891189066,4.302402498800268,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,73,4096,4,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 2, ""num_warps"": 4}",0.01360000018030405,308.4047017936311,4.29768547298248,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,74,4096,4,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 3, ""num_warps"": 4}",0.013504000380635262,310.59714764334814,4.3047693129416835,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,75,4096,4,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 4, ""num_warps"": 4}",0.013535999692976475,309.862891189066,4.302402498800268,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,76,4096,8,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 1, ""num_warps"": 8}",0.014368000440299511,291.91981288055746,4.24275173677784,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,77,4096,8,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 2, ""num_warps"": 8}",0.014368000440299511,291.91981288055746,4.24275173677784,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,78,4096,8,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 3, ""num_warps"": 8}",0.014368000440299511,291.91981288055746,4.24275173677784,3.0517578125e-05
